name,original,reduced,Seed
istanbul-no-cutoff.mp,27.522,26.146,123
istanbul-no-cutoff.mp,39.139,37.247,1234
k1mushroom.mp,148.281,130.991,0
k1mushroom.mp,166.188,144.47,1
k1mushroom.mp,162.132,150.251,12
k1mushroom.mp,137.32,137.818,123
k1mushroom.mp,162.21,147.074,1234
lectsched-5-obj.mp,92.274,94.226,0
lectsched-5-obj.mp,123.388,82.542,1
lectsched-5-obj.mp,170.436,87.634,12
lectsched-5-obj.mp,91.901,56.536,123
lectsched-5-obj.mp,125.079,84.629,1234
mcsched.mp,21.795,19.044,0
mcsched.mp,27.332,20.864,1
mcsched.mp,29.275,27.128,12
mcsched.mp,19.408,16.755,123
mcsched.mp,24.182,19.448,1234
mzzv11.mp,11.629,13.356,0
mzzv11.mp,11.479,8.709,1
mzzv11.mp,16.734,8.119,12
mzzv11.mp,10.63,6.511,123
mzzv11.mp,11.597,9.233,1234
mzzv42z.mp,7.744,7.874,0
mzzv42z.mp,6.835,7.15,1
mzzv42z.mp,8.594,8.784,12
mzzv42z.mp,7.699,6.65,123
mzzv42z.mp,7.891,7.227,1234
n2seq36q.mp,3.011,3.492,0
n2seq36q.mp,2.181,3.032,1
n2seq36q.mp,8.257,3.512,12
n2seq36q.mp,2.625,3.321,123
n2seq36q.mp,3.83,3.292,1234
neos-2657525-crna.mp,3464.098,3601.792,0
neos-2657525-crna.mp,2737.837,3600.126,1
neos-2657525-crna.mp,3600.018,3600.534,12
neos-2657525-crna.mp,3600.373,334.69,123
neos-2657525-crna.mp,3600.11,1631.185,1234
neos-2746589-doon.mp,171.865,213.024,0
neos-2746589-doon.mp,179.029,215.273,1
neos-2746589-doon.mp,267.368,142.82,12
neos-2746589-doon.mp,259.668,193.764,123
neos-2746589-doon.mp,104.669,155.357,1234
neos-3216931-puriri.mp,89.923,189.253,0
neos-3216931-puriri.mp,99.325,146.275,1
neos-3216931-puriri.mp,109.24,78.282,12
neos-3216931-puriri.mp,113.856,106.821,123
neos-3216931-puriri.mp,91.318,88.37,1234
neos-3656078-kumeu.mp,1286.846,1191.886,0
neos-3656078-kumeu.mp,1915.991,1427.694,1
neos-3656078-kumeu.mp,1909.484,1912.704,12
neos-3656078-kumeu.mp,1779.456,3602.358,123
neos-3656078-kumeu.mp,1350.744,964.422,1234
neos-3988577-wolgan.mp,217.699,194.787,0
neos-3988577-wolgan.mp,196.424,207.067,1
neos-3988577-wolgan.mp,209.847,204.333,12
neos-3988577-wolgan.mp,250.517,196.492,123
neos-3988577-wolgan.mp,90.932,164.321,1234
neos-4387871-tavua.mp,743.583,913.108,0
neos-4387871-tavua.mp,696.71,945.667,1
neos-4387871-tavua.mp,935.999,885.399,12
neos-4387871-tavua.mp,723.649,2776.702,123
neos-4387871-tavua.mp,866.699,1011.02,1234
neos-4413714-turia.mp,29.099,35.791,0
neos-4413714-turia.mp,28.463,32.221,1
neos-4413714-turia.mp,30.05,34.434,12
neos-4413714-turia.mp,28.197,31.836,123
neos-4413714-turia.mp,27.07,33.976,1234
neos-4532248-waihi.mp,205.988,190.978,0
neos-4532248-waihi.mp,363.883,169.649,1
neos-4532248-waihi.mp,98.684,218.325,12
neos-4532248-waihi.mp,174.576,165.957,123
neos-4532248-waihi.mp,120.392,138.327,1234
neos-4647030-tutaki.mp,169.215,194.644,0
neos-4647030-tutaki.mp,186.142,324.593,1
neos-4647030-tutaki.mp,191.815,95.171,12
neos-4647030-tutaki.mp,157.673,128.853,123
neos-4647030-tutaki.mp,147.544,208.095,1234
neos-4722843-widden.mp,41.793,28.902,0
neos-4722843-widden.mp,54.742,35.578,1
neos-4722843-widden.mp,37.729,29.765,12
neos-4722843-widden.mp,51.524,27.021,123
neos-4722843-widden.mp,33.505,58.611,1234
neos-4738912-atrato.mp,44.585,33.774,0
neos-4738912-atrato.mp,42.874,40.517,1
neos-4738912-atrato.mp,32.167,42.729,12
neos-4738912-atrato.mp,42.313,57.293,123
neos-4738912-atrato.mp,30.637,27.414,1234
neos-5104907-jarama.mp,3601.003,2318.721,0
neos-5104907-jarama.mp,1049.865,854.638,1
neos-5104907-jarama.mp,1273.413,670.918,12
neos-5104907-jarama.mp,825.943,925.157,123
neos-5104907-jarama.mp,1352.836,1210.061,1234
neos-5195221-niemur.mp,3607.812,3368.748,0
neos-5195221-niemur.mp,3601.339,3601.441,1
neos-5195221-niemur.mp,2741.773,3602.452,12
neos-5195221-niemur.mp,3368.145,3091.049,123
neos-5195221-niemur.mp,2882.25,1729.422,1234
neos-631710.mp,3603.135,831.027,0
neos-631710.mp,994.925,608.196,1
neos-631710.mp,735.22,397.856,12
neos-631710.mp,891.829,811.535,123
neos-631710.mp,391.86,526.414,1234
neos-662469.mp,4.758,60.939,0
neos-662469.mp,25.022,47.464,1
neos-662469.mp,61.415,48.645,12
neos-662469.mp,81.8,62.941,123
neos-662469.mp,63.905,30.217,1234
neos-787933.mp,2.013,0.945,0
neos-787933.mp,2.095,0.944,1
neos-787933.mp,2.203,1.004,12
neos-787933.mp,2.031,5.32,123
neos-787933.mp,2.07,2.08,1234
neos8.mp,0.628,4.023,0
neos8.mp,0.658,3.995,1
neos8.mp,0.691,4.061,12
neos8.mp,0.662,4.035,123
neos8.mp,0.657,4.011,1234
neos-827175.mp,0.535,0.812,0
neos-827175.mp,0.943,0.864,1
neos-827175.mp,0.819,0.882,12
neos-827175.mp,0.616,0.813,123
neos-827175.mp,0.644,0.643,1234
neos-957323.mp,2.629,4.01,0
neos-957323.mp,2.696,4.032,1
neos-957323.mp,2.721,3.99,12
neos-957323.mp,2.719,3.773,123
neos-957323.mp,2.797,4.004,1234
neos-960392.mp,5.295,2.451,0
neos-960392.mp,3.887,7.266,1
neos-960392.mp,2.844,6.097,12
neos-960392.mp,3.583,5.882,123
neos-960392.mp,3.685,19.694,1234
net12.mp,121.929,107.947,0
net12.mp,172.373,174.585,1
net12.mp,127.857,183.649,12
net12.mp,115.026,106.739,123
net12.mp,118.149,260.399,1234
netdiversion.mp,252.596,295.666,0
netdiversion.mp,272.412,235.414,1
netdiversion.mp,125.783,343.324,12
netdiversion.mp,276.577,193.792,123
netdiversion.mp,93.329,102.329,1234
ns1116954.mp,3.663,12,0
ns1116954.mp,6.307,16,1
ns1116954.mp,5.884,11,12
ns1116954.mp,531.982,420.516,123
ns1116954.mp,4.921,13.012,1234
nu25-pr12.mp,3.626,3.628,0
