name,org,"rule, 1"
mzzv11.mp,11.479,8.709
mzzv11.mp,16.734,8.119
mzzv11.mp,10.63,6.511
mzzv11.mp,11.597,9.233
mzzv42z.mp,7.744,7.874
mzzv42z.mp,6.835,7.15
mzzv42z.mp,8.594,8.784
mzzv42z.mp,7.699,6.65
mzzv42z.mp,7.891,7.227
n2seq36q.mp,3.011,3.492
n2seq36q.mp,2.181,3.032
n2seq36q.mp,8.257,3.512
n2seq36q.mp,2.625,3.321
n2seq36q.mp,3.83,3.292
neos-2657525-crna.mp,3464.098,3601.792
neos-2657525-crna.mp,2737.837,3600.126
neos-2657525-crna.mp,3600.018,3600.534
neos-2657525-crna.mp,3600.373,334.69
neos-2657525-crna.mp,3600.11,1631.185
neos-2746589-doon.mp,171.865,213.024
neos-2746589-doon.mp,179.029,215.273
neos-2746589-doon.mp,267.368,142.82
neos-2746589-doon.mp,259.668,193.764
neos-2746589-doon.mp,104.669,155.357
neos-3216931-puriri.mp,89.923,189.253
neos-3216931-puriri.mp,99.325,146.275
neos-3216931-puriri.mp,109.24,78.282
neos-3216931-puriri.mp,113.856,106.821
neos-3216931-puriri.mp,91.318,88.37
neos-3656078-kumeu.mp,1286.846,1191.886
neos-3656078-kumeu.mp,1915.991,1427.694
neos-3656078-kumeu.mp,1909.484,1912.704
neos-3656078-kumeu.mp,1779.456,3602.358
neos-3656078-kumeu.mp,1350.744,964.422
neos-3988577-wolgan.mp,217.699,194.787
neos-3988577-wolgan.mp,196.424,207.067
neos-3988577-wolgan.mp,209.847,204.333
neos-3988577-wolgan.mp,250.517,196.492
neos-3988577-wolgan.mp,90.932,164.321
neos-4387871-tavua.mp,743.583,913.108
neos-4387871-tavua.mp,696.71,945.667
neos-4387871-tavua.mp,935.999,885.399
neos-4387871-tavua.mp,723.649,2776.702
neos-4387871-tavua.mp,866.699,1011.02
neos-4413714-turia.mp,29.099,35.791
neos-4413714-turia.mp,28.463,32.221
neos-4413714-turia.mp,30.05,34.434
neos-4413714-turia.mp,28.197,31.836
neos-4413714-turia.mp,27.07,33.976
neos-4532248-waihi.mp,205.988,190.978
neos-4532248-waihi.mp,363.883,169.649
neos-4532248-waihi.mp,98.684,218.325
neos-4532248-waihi.mp,174.576,165.957
neos-4532248-waihi.mp,120.392,138.327
neos-4647030-tutaki.mp,169.215,194.644
neos-4647030-tutaki.mp,186.142,324.593
neos-4647030-tutaki.mp,191.815,95.171
neos-4647030-tutaki.mp,157.673,128.853
neos-4647030-tutaki.mp,147.544,208.095
neos-4722843-widden.mp,41.793,28.902
neos-4722843-widden.mp,54.742,35.578
neos-4722843-widden.mp,37.729,29.765
neos-4722843-widden.mp,51.524,27.021
neos-4722843-widden.mp,33.505,58.611
neos-4738912-atrato.mp,44.585,33.774
neos-4738912-atrato.mp,42.874,40.517
neos-4738912-atrato.mp,32.167,42.729
neos-4738912-atrato.mp,42.313,57.293
neos-4738912-atrato.mp,30.637,27.414
neos-5104907-jarama.mp,3601.003,2318.721
neos-5104907-jarama.mp,1049.865,854.638
neos-5104907-jarama.mp,1273.413,670.918
neos-5104907-jarama.mp,825.943,1025.157
neos-5104907-jarama.mp,1352.836,1210.061
neos-5195221-niemur.mp,3607.812,3368.748
neos-5195221-niemur.mp,3601.339,3601.441
neos-5195221-niemur.mp,2741.773,3602.452
neos-5195221-niemur.mp,3368.145,3091.049
neos-5195221-niemur.mp,2882.25,1729.422
neos-631710.mp,3603.135,831.027
neos-631710.mp,994.925,608.196
neos-631710.mp,735.22,397.856
neos-631710.mp,891.829,811.535
neos-631710.mp,391.86,526.414
neos-662469.mp,4.758,60.939
neos-662469.mp,25.022,47.464
neos-662469.mp,61.415,48.645
neos-662469.mp,81.8,62.941
neos-662469.mp,63.905,30.217
neos-787933.mp,2.013,0.945
neos-787933.mp,2.095,0.944
neos-787933.mp,2.203,1.004
neos-787933.mp,2.031,5.32
neos-787933.mp,2.07,2.08
neos8.mp,0.628,4.023
neos8.mp,0.658,3.995
neos8.mp,0.691,4.061
neos8.mp,0.662,4.035
neos8.mp,0.657,4.011
neos-827175.mp,0.535,0.812
neos-827175.mp,0.943,0.864
neos-827175.mp,0.819,0.882
neos-827175.mp,0.616,0.813
neos-827175.mp,0.644,0.643
neos-957323.mp,2.629,4.01
neos-957323.mp,2.696,4.032
neos-957323.mp,2.721,3.99
neos-957323.mp,2.719,3.773
neos-957323.mp,2.797,4.004
neos-960392.mp,5.295,2.451
neos-960392.mp,3.887,7.266
neos-960392.mp,2.844,6.097
neos-960392.mp,3.583,5.882
neos-960392.mp,3.685,19.694
net12.mp,121.929,107.947
net12.mp,172.373,174.585
net12.mp,127.857,183.649
net12.mp,115.026,106.739
net12.mp,118.149,260.399
netdiversion.mp,252.596,295.666
netdiversion.mp,272.412,235.414
netdiversion.mp,125.783,343.324
netdiversion.mp,276.577,193.792
netdiversion.mp,93.329,102.329
ns1116954.mp,3.663,12
ns1116954.mp,6.307,16
ns1116954.mp,5.884,11
ns1116954.mp,531.982,420.516
ns1116954.mp,4.921,13.012
nu25-pr12.mp,3.626,3.628
nu25-pr12.mp,4.045,3.967
nu25-pr12.mp,3.642,3.644
nu25-pr12.mp,3.154,3.123
nu25-pr12.mp,2.727,2.665
nursesched-medium-hint03.mp,1082.451,3602.472
nursesched-medium-hint03.mp,1366.175,3266.249
nursesched-medium-hint03.mp,889.05,3600.529
nursesched-medium-hint03.mp,646.455,1009.209
nursesched-medium-hint03.mp,728.045,3626.838
nursesched-sprint02.mp,6.526,2.468
nursesched-sprint02.mp,7.077,5.326
nursesched-sprint02.mp,5.267,3.472
nursesched-sprint02.mp,6.627,3.455
nursesched-sprint02.mp,6.206,3.306
peg-solitaire-a3.mp,55.558,33.394
peg-solitaire-a3.mp,126.709,6.419
peg-solitaire-a3.mp,49.154,23.471
peg-solitaire-a3.mp,56.523,50.322
peg-solitaire-a3.mp,78.621,19.048
physiciansched3-3.mp,729.11,1629.898
physiciansched3-3.mp,1150.976,2290.596
physiciansched3-3.mp,1341.36,2139.589
physiciansched3-3.mp,1075.765,2412.186
physiciansched3-3.mp,973.329,1678.329
physiciansched6-2.mp,2.602,2.602
physiciansched6-2.mp,2.728,2.728
physiciansched6-2.mp,2.752,17.708
physiciansched6-2.mp,2.925,15.71
physiciansched6-2.mp,1.62,1.92
piperout-08.mp,4.204,3.479
piperout-08.mp,3.592,3.811
piperout-08.mp,5.923,2.67
piperout-08.mp,2.434,2.323
piperout-08.mp,2.948,2.368
piperout-27.mp,3.513,3.67
piperout-27.mp,3.122,3.278
piperout-27.mp,3.126,5.079
piperout-27.mp,2.736,3.146
piperout-27.mp,2.73,2.996
proteindesign121hz512p9.mp,3490.97,3608.111
proteindesign121hz512p9.mp,3602.134,3608.839
proteindesign121hz512p9.mp,3601.341,3607.982
proteindesign121hz512p9.mp,3176.647,3607.004
proteindesign121hz512p9.mp,3551.649,2713.921
proteindesign122trx11p8.mp,2258.921,3605.973
proteindesign122trx11p8.mp,3602.347,3606.067
proteindesign122trx11p8.mp,2032.762,3605.774
proteindesign122trx11p8.mp,1871.043,3604.982
proteindesign122trx11p8.mp,2078.906,3604.962
radiationm18-12-05.mp,776.29,104.974
radiationm18-12-05.mp,206.084,677.931
radiationm18-12-05.mp,320.415,226.761
radiationm18-12-05.mp,269.417,457.218
radiationm18-12-05.mp,3600.998,735.97
rail01.mp,392.207,522.842
rail01.mp,650.693,328.01
rail01.mp,621.691,416.149
rail01.mp,395.703,310.853
rail01.mp,547.393,373.738
rd-rplusc-21.mp,526.712,658.787
rd-rplusc-21.mp,350.709,325.308
rd-rplusc-21.mp,458.96,332.586
rd-rplusc-21.mp,489.296,618.012
rd-rplusc-21.mp,428.459,680.768
rocI-4-11.mp,42.313,42.483
rocI-4-11.mp,93.987,27.892
rocI-4-11.mp,38.926,34.162
rocI-4-11.mp,30.252,52.8
rocI-4-11.mp,51.953,35.226
rocII-5-11.mp,651.556,1246.867
rocII-5-11.mp,791.435,1865.008
rocII-5-11.mp,548.078,397.875
rocII-5-11.mp,1459.951,997.954
rocII-5-11.mp,877.03,879.724
roi2alpha3n4.mp,136.706,72.566
roi2alpha3n4.mp,100.974,54.782
roi2alpha3n4.mp,114.759,53.171
roi2alpha3n4.mp,110.061,55.76
roi2alpha3n4.mp,103.575,54.537
roi5alpha10n8.mp,3601.905,1523.588
roi5alpha10n8.mp,3602.225,1125.225
roi5alpha10n8.mp,3601.183,1383.903
roi5alpha10n8.mp,3601.44,1591.296
roi5alpha10n8.mp,3602.041,1275.302
roll3000.mp,14.441,11.167
roll3000.mp,13.995,7.93
roll3000.mp,5.318,10.436
roll3000.mp,10.287,9.989
roll3000.mp,10.987,11.083
satellites2-40.mp,226.694,134.222
satellites2-40.mp,374.101,70.576
satellites2-40.mp,365.66,166.964
satellites2-40.mp,196.807,169.296
satellites2-40.mp,190.079,132.428
satellites2-60-fs.mp,345.915,206.383
satellites2-60-fs.mp,241.345,314.837
satellites2-60-fs.mp,379.476,359.057
satellites2-60-fs.mp,423.249,157.585
satellites2-60-fs.mp,254.205,210.901
sct2.mp,31.821,40.326
sct2.mp,33.064,46.731
sct2.mp,54.674,31.922
sct2.mp,15.304,14.774
sct2.mp,67.249,27.111
sing326.mp,3603.402,3173.108
sing326.mp,2534.221,1963.266
sing326.mp,3602.573,3603.117
sing326.mp,3261.811,3605.712
sing326.mp,3606.657,2387.914
sing44.mp,2232.639,2717.364
sing44.mp,2041.757,1541.42
sing44.mp,1757.804,2755.375
sing44.mp,2863.115,3603.694
sing44.mp,1926.327,2776.336
splice1k1.mp,1695.873,3601.282
splice1k1.mp,3604.804,3600.146
splice1k1.mp,3601.126,3601.471
splice1k1.mp,2743.241,3601.063
splice1k1.mp,1678.537,1941.036
supportcase18.mp,3603.573,66.855
supportcase18.mp,2466.066,74.431
supportcase18.mp,3603.218,67.082
supportcase18.mp,3604.927,38.228
supportcase18.mp,124.189,356.158
supportcase22.mp,3601.525,3601.217
supportcase22.mp,3601.45,3601.033
supportcase22.mp,3601.552,3600.996
supportcase22.mp,3601.609,3601.237
supportcase22.mp,3462.308,3601.295
supportcase33.mp,30.466,21.538
supportcase33.mp,24.351,23.517
supportcase33.mp,20.419,25.339
supportcase33.mp,21.741,23.644
supportcase33.mp,19.676,20.906
supportcase6.mp,211.176,189.663
supportcase6.mp,188.644,179.695
supportcase6.mp,195.797,194.037
supportcase6.mp,189.785,135.666
supportcase6.mp,162.262,165.456
supportcase7.mp,8.668,9.472
supportcase7.mp,8.335,8.037
supportcase7.mp,8.272,6.656
supportcase7.mp,9.26,8.245
supportcase7.mp,8.668,8.162
swath1.mp,8.714,7.947
swath1.mp,8.515,8.256
swath1.mp,8.478,7.992
swath1.mp,8.952,7.959
swath1.mp,7.853,6.691
swath3.mp,130.203,129.868
swath3.mp,45.563,69.258
swath3.mp,62.04,64.388
swath3.mp,64.196,110.44
swath3.mp,72.376,255.506
tbfp-network.mp,50.589,50.434
tbfp-network.mp,56.375,56.174
tbfp-network.mp,119.786,109.423
tbfp-network.mp,75.281,73.478
tbfp-network.mp,50.516,48.991
traininstance2.mp,265.147,340.461
traininstance2.mp,338.011,141.961
traininstance2.mp,234.511,201.211
traininstance2.mp,429.33,140.454
traininstance2.mp,171.78,216.024
traininstance6.mp,49.159,28.656
traininstance6.mp,22.653,17.394
traininstance6.mp,26.225,11.224
traininstance6.mp,34.45,21.914
traininstance6.mp,26.518,27.535
triptim1.mp,15.962,15.764
triptim1.mp,12.312,15.995
triptim1.mp,15.563,14.988
triptim1.mp,11.103,16.874
triptim1.mp,20.747,13.008
uccase9.mp,1563.183,1569.616
uccase9.mp,1662.723,1711.49
uccase9.mp,1925.462,2073.79
uccase9.mp,1687.51,981.459
uccase9.mp,1381.076,1302.939
uct-subprob.mp,617.903,269.407
uct-subprob.mp,660.561,301.069
uct-subprob.mp,527.328,359.245
uct-subprob.mp,453.269,328.476
uct-subprob.mp,698.376,357.744
wachplan.mp,84.765,79.352
wachplan.mp,97.054,93.347
wachplan.mp,180.804,169.752
wachplan.mp,115.399,108.041
wachplan.mp,130.848,121.12
