neos-4413714-turia.mp,7.3092,761757,190000,0,190206,190000,404,0,379604,0,0,0,0,950,0,950,202,0,189802,0,0,0,0
neos-4532248-waihi.mp,4.1847,525340,250442,0,3057,250445,294,0,5520,0,0,0,0,83386,0,83386,144,0,2748,0,0,0,0
neos-4647030-tutaki.mp,0.0257,3953389,7000,0,7000,7000,7000,0,7000,0,0,0,0,1400,0,1400,1400,0,1400,0,0,0,0
neos-4722843-widden.mp,0.9732,311530,163522,279,5396,163710,58,279,10424,0,0,0,0,71337,93,71337,28,93,5211,0,0,0,0
neos-4738912-atrato.mp,0.0041,19522,220,0,186,196,142,0,91,0,0,0,0,35,0,32,68,0,33,0,0,0,0
neos-5104907-jarama.mp,0.0271,2053549,12732,72,0,8908,0,72,0,0,0,0,0,6342,24,4262,0,24,0,0,0,0,0
neos-5195221-niemur.mp,0.0745,176587,43498,176,0,34170,0,176,0,0,0,0,0,21616,44,16864,0,44,0,0,0,0,0
neos-631710.mp,19.1075,834167,667110,0,167056,1947990,86275,0,9939510,1055741,0,0,0,169020,0,169020,556,0,82122,12500,0,0,0
neos-662469.mp,0.2035,200056,17830,0,5832,19496,2144,0,14538,0,0,0,0,276,0,272,29,0,177,0,0,0,0
neos-787933.mp,8.5732,298321,0,0,236376,0,3528,0,465696,0,0,0,0,0,0,0,1764,0,232848,0,0,0,0
neos-827175.mp,0.1293,110791,3416,10980,12810,3416,12810,12810,12810,0,0,0,0,28,1830,28,1830,1830,1830,0,0,0,0
neos-957323.mp,2.4566,499657,299546,0,51062,184983,51200,0,28153,31450,10540,0,165540,2013,0,1228,1247,0,137,170,85,0,1335
neos-960392.mp,1.402,189504,181615,59151,1301,178583,1439,59151,841,850,340,0,340,3982,1575,3193,257,1575,137,170,85,0,85
neos8.mp,1.1631,313181,56,0,89152,56,46480,0,85344,0,0,0,0,4,0,4,23240,0,42672,0,0,0,0
net12.mp,0.0102,80385,1648,24,13056,1648,84,24,1128,0,0,0,0,417,6,417,28,6,376,0,0,0,0
netdiversion.mp,2.592,615283,337956,100,0,337956,0,100,0,0,0,0,0,60005,1,60005,0,1,0,0,0,0,0
ns1116954.mp,0.0958,410583,29810,0,7650,45152,3516,0,35860,254172,0,0,0,8261,0,3377,228,0,3772,32574,0,0,0
nu25-pr12.mp,0.0113,17713,1016,124,0,1016,0,124,0,0,0,0,0,448,31,448,0,31,0,0,0,0,0
nursesched-medium-hint03.mp,1.3081,622801,462720,720,0,887574,0,720,0,1161,0,0,0,6278,120,5318,0,120,0,209,0,0,0
nursesched-sprint02.mp,0.4974,204001,154880,240,0,444900,0,240,0,780,0,0,0,2162,40,1842,0,40,0,140,0,0,0
peg-solitaire-a3.mp,0.0318,28388,3220,0,12880,3220,9990,0,11133,0,0,0,0,35,0,35,2100,0,2205,0,0,0,0
physiciansched3-3.mp,1.3263,1062480,368601,12208,69341,1652414,62453,11470,58622,1465409,7755,160,71690,177477,572,177477,20331,515,13569,246300,2245,40,14573
